Method,Description,similarity_score,EvlScore
importedKeyRestrict,"对于列 
               UPDATE_RULE ，指示如果主键已由另一个表作为外键导入，则可能不会更新主键。",0.8886478,1.0
removeFromParent,从父母处移除接收器。,0.8035729,1.0
appRaisedToForeground,当应用程序成为前台应用程序时调用。,0.77738273,0.8
isCurrent,"确定此 
               Object是否为最新。",0.8712924,1.0
run,"当使用实现接口 
               Runnable的对象来创建线程时，启动该线程会导致在该单独执行的线程中调用该对象的 
               run方法。",0.6367588,1.0
getPeerPort,返回此会话中对等方的端口号。,0.75609607,1.0
evaluate,"在指定的上下文中计算已编译的XPath表达式，并将结果作为 
               String返回。",0.8407861,1.0
icHdrFlags,ICC配置文件头位置：各种位设置。,0.88438404,1.0
addNamingListener,"添加一个侦听器，用于接收在搜索过滤器 
               filter标识的对象和由字符串目标名称指定的对象上的过滤器参数被修改时触发的命名事件。",0.7753741,1.0
remove,从此双端队列中删除第一次出现的指定元素。,0.55654067,1.0
getNCharacterStream,"以Java编程语言中 
               java.io.Reader对象的形式检索指定参数的值。",0.8695127,1.0
build,构建流，将此构建器转换为构建状态。,0.62880987,1.0
setFloat,"将指定参数设置为给定的Java 
               float值。",0.86964655,1.0
endPrefixMapping,结束前缀URI映射的范围。,0.7794348,1.0
pollEvents,"检索并删除此监视键的所有挂起事件，返回已检索事件的 
               List 。",0.8480311,1.0
setColumnCount,"将 
               RowSet对象中的列数设置为给定数字。",0.8569652,1.0
getPublicId,表示法的公共标识符，如果没有给出，则为null。,0.7949091,1.0
typeNoNulls,"表示此数据类型不允许使用 
               NULL值。",0.8689681,1.0
iterator,以升序返回此集合中元素的迭代器。,0.85212004,1.0
getLowerBound,返回此类型变量的下限。,0.7479572,1.0
setInputMethodContext,设置输入方法上下文，该上下文用于将输入方法事件分派给客户端组件并从客户端组件请求信息。,0.856829,0.8
adoptNode,尝试从另一个文档中采用节点到此文档。,0.7952666,1.0
serviceRevoked,"名为的服务已被撤销。
将不再满足此服务的getService请求。",0.8358766,1.0
visitTypeParameter,访问类型参数元素。,0.81942856,1.0
setSelectionModel,设置选择模型。,0.8054359,1.0
setLogWriter,"将此 
               DataSource对象的日志 
               DataSource设置为给定的 
               java.io.PrintWriter对象。",0.7346978,1.0
poll,检索并删除表示下一个已完成任务的Future，必要时等待指定的等待时间（如果尚未存在）。,0.39333057,1.0
build,构建流，将此构建器转换为构建状态。,0.62880987,1.0
wrap,将字节数组包装到缓冲区中。,0.6710885,1.0
minusYears,"返回此 
               ZonedDateTime的副本，并减去指定的年数。",0.7343577,1.0
put,"相对批量 
               放置方法 
               （可选操作） 。",0.85629696,1.0
getUnsupportedValues,"返回Print Service实例支持该属性但不支持该属性的特定值的打印属性数组，如果没有此类属性值，则 
               null 。",0.78289187,1.0
initialize,为给定的模数长度（而不是参数）初始化密钥对生成器，以及可选的SecureRandom位源。,0.80332327,1.0
convertStreamMetadata,"返回一个 
               IIOMetadata对象，该对象可用于编码，并可选择使用其文档接口或特定于将用于编码的writer插件的其他接口进行修改。",0.8527603,0.8
tailMap,"返回此映射部分的视图，其键大于或等于 
               fromKey 。",0.62371564,1.0
visit,访问类型。,0.653483,1.0
removeNamedItem,删除name指定的节点。,0.8573759,1.0
cancelCellEditing,告诉编辑取消编辑，不接受任何部分编辑的值。,0.8743834,1.0
ceilingKey,"返回大于或等于给定键的 
               null键，如果没有这样的键，则 
               null 。",0.67073977,1.0
or,返回一个组合谓词，表示此谓词与另一个谓词的短路逻辑OR。,0.45449194,1.0
position,返回此频道的位置。,0.32158375,1.0
getOriginatingNode,返回发生事件的节点。,0.7951575,1.0
getNString,"检索指定的值 
               NCHAR ， 
               NVARCHAR或 
               LONGNVARCHAR作为参数 
               String Java编程语言。",0.8198763,1.0
executeQuery,"执行此 
               PreparedStatement对象中的SQL查询，并返回查询生成的 
               ResultSet对象。",0.85659456,1.0
setOwner,更新文件所有者。,0.84086204,1.0
internalFrameDeactivated,内部框架取消激活时调用。,0.6824267,0.8
contains,测试指定Point2D是的边界内Shape ，如所描述的definition of insideness 。,0.39850983,1.0
writeStartElement,将开始标记写入输出。,0.84807247,1.0
add,"将指定的元素插入此双端队列表示的队列中（换句话说，在此双端队列的尾部），如果它是立即可行且不会违反容量限制，返回 
               true成功时和抛出 
               IllegalStateException如果当前没有空间可用的。",0.38666037,1.0
isBorderOpaque,返回边框是否不透明。,0.8682653,1.0
toString,"将此年表输出为 
               String 。",0.84663975,1.0
isReadOnly,返回只读属性的值。,0.8374498,1.0
close,关闭此枚举。,0.3970992,1.0
redefineClasses,使用提供的类文件重新定义提供的类集。,0.82973164,1.0
encode,不推荐使用，要删除：此API元素将在以后的版本中删除。,0.84682655,1.0
entries,不推荐使用，要删除：此API元素将在以后的版本中删除。,0.43657905,1.0
onError,在发布者或订阅服务器遇到不可恢复的错误时调用的方法，之后订阅服务器不会调用其他订阅服务器方法。,0.8799315,1.0
visitError,访问错误类型。,0.84316266,1.0
match,"决定是否应选择 
               CRL 。",0.26039052,1.0
preVisitDirectory,在访问目录中的条目之前为目录调用。,0.7998309,1.0
icHdrProfileID,ICC配置文件标题位置：配置文件的ID。,0.8427326,1.0
put,"相对批量 
               放置方法 
               （可选操作） 。",0.85629696,1.0
getOutputStream,"已过时。

没有替代品",0.8324918,1.0
writeStruct,将SQL结构类型值写入流。,0.8338726,1.0
adjustInto,调整指定的时间对象以具有此年 - 月。,0.8519723,1.0
setNClob,"将指定参数设置为 
               java.sql.NClob对象。",0.79259455,1.0
asReadOnlyBuffer,创建一个共享此缓冲区内容的新的只读int缓冲区。,0.89382005,1.0
addEventListener,此方法允许在事件目标上注册事件侦听器。,0.7998884,1.0
update,使用指定的字节数组更新当前校验和。,0.79308,1.0
writeByte,"将 
               v的8个低位写入流。",0.8348291,1.0
icSigSpace6CLR,ICC配置文件颜色空间类型签名：'6CLR'。,0.8025753,0.8
writeAborted,"报告写入已通过编写器的 
               abort方法中止。",0.8245812,1.0
setNull,"将指定参数设置为SQL 
               NULL 。",0.84001464,1.0
addLayoutComponent,使用指定的约束对象将指定的组件添加到布局中。,0.8102852,1.0
getGenericElement,返回由此类型参数参数化的泛型类，接口，方法或构造函数。,0.8345168,1.0
addNamingListener,"添加一个侦听器，用于接收在搜索过滤器 
               filter标识的对象和目标命名的对象上的过滤器参数被修改时触发的命名事件。",0.7757182,1.0
visitInt,"访问注释中的 
               int值。",0.71849126,1.0
toArray,"以适当的顺序返回包含此列表中所有元素的数组（从第一个元素到最后一个元素）;
返回数组的运行时类型是指定数组的运行时类型。",0.7529485,1.0
comboIcon,图标。,0.8470012,1.0
removeLastOccurrence,从此双端队列中删除最后一次出现的指定元素。,0.71838975,1.0
permits,确定是否为指定的加密基元授予密钥权限。,0.33602217,1.0
negate,返回表示此谓词的逻辑否定的谓词。,0.73539114,1.0
equals,"返回 
               true如果参数表示相同的名字 
               this和 
               false其他。",0.7761374,1.0
query,使用指定的查询查询此日期。,0.7997234,1.0
setDot,将插入位置设置为某个位置。,0.7981213,1.0
accept,对给定的参数执行此操作。,0.1988309,1.0
or,返回一个组合谓词，表示此谓词与另一个谓词的短路逻辑OR。,0.45449194,1.0
submit,提交Runnable任务以执行并返回表示该任务的Future。,0.6472026,1.0
setNegativePermissions,不推荐使用，要删除：此API元素将在以后的版本中删除。,0.80142903,0.8
getDefaultSoundbank,获得合成器的默认音库（如果存在）。,0.8890476,1.0
getNotations,返回包含DTD中声明的符号的List。,0.8327385,1.0
normalizeDocument,此方法就像文档正在进行保存和加载循环一样，将文档置于“正常”形式。,0.82573813,1.0
childAdded,添加子节点时会调用此方法。,0.83705485,1.0
close,关闭此流并释放与其关联的所有系统资源。,0.34422457,1.0
getEnclosingElement,"返回顶级类型的包，并返回 
               nested类型的直接词法封闭元素。",0.76752865,1.0
run,运行该工具的实例，为成功运行返回零。,0.6165718,1.0
setPublicId,此输入源的公共标识符。,0.8379213,1.0
removeAttributes,"删除使用给定 
               names设置的属性。",0.8227904,1.0
createDocument,使用其document元素创建指定类型的DOM Document对象。,0.85804856,1.0
attributeDecl,报告属性类型声明。,0.76815057,1.0
toArray,"返回包含此集合中所有元素的数组，使用提供的 
               generator函数分配返回的数组。",0.74676824,1.0
putDouble,"用于写入double值的相对 
               put方法 
               （可选操作） 。",0.89296734,1.0
putValue,"使用给定的 
               name将指定的 
               value对象绑定到会话的应用程序层数据中。",0.86021954,1.0
getLong,"检索JDBC的价值 
               BIGINT参数为 
               long的Java编程语言。",0.826908,1.0
nextElement,如果此枚举对象至少还有一个要提供的元素，则返回此枚举的下一个元素。,0.75440323,1.0
newInstance,"激活器调用实例化器的 
               newInstance方法，以便在该组中重新创建具有激活标识符 
               id和描述符 
               desc 。",0.8364684,1.0
remapInstrument,重新制作乐器。,0.88495874,1.0
printDataTransferCompleted,被调用以通知客户端数据已成功传输到打印服务，并且客户端可以释放为该数据分配的本地资源。,0.7501593,0.8
isStandalone,从xml声明中获取独立声明,0.90458614,1.0
getNotationName,相关表示法的名称。,0.69634527,1.0
setPressed,将按钮设置为按下或未按下。,0.7591604,1.0
initialize,已过时。,0.7523761,1.0
setObject,使用给定对象设置指定参数的值。,0.7829503,1.0
getTileWidth,返回tile宽度（以像素为单位）。,0.876873,1.0
getMonth,"使用 
               Month枚举获取年份字段。",0.84118754,1.0
getNumYTiles,返回Y方向上的切片数。,0.81206685,1.0
getDate,"检索JDBC的值 
               DATE参数作为 
               java.sql.Date对象，使用给定 
               Calendar对象构造日期。",0.8440721,1.0
startCDATA,报告CDATA部分的开头。,0.8461789,1.0
thenCombineAsync,返回一个新的CompletionStage，当这个和另一个给定的阶段都正常完成时，使用提供的执行器执行，两个结果作为提供的函数的参数。,0.81556976,1.0
remove,删除此列表中指定位置的元素（可选操作）。,0.56376225,1.0
hasArray,判断此缓冲区是否由可访问的双数组支持。,0.80236393,1.0
putFloat,"用于写入浮点值的绝对 
               put方法 
               （可选操作） 。",0.89760923,1.0
isSupported,检查是否支持指定的字段。,0.31597376,1.0
add,如果指定的属性值尚不存在，则将其添加到此属性集中，首先删除与指定属性值相同的属性类别中的任何现有值（可选操作）。,0.31501263,1.0
getName,获取此活动的名称,0.8125455,1.0
add,向正在构建的流添加元素。,0.3195246,1.0
element,检索但不删除此双端队列表示的队列的头部（换句话说，此双端队列的第一个元素）。,0.4865823,1.0
getText,返回注释的字符串数据，如果不存在则返回空字符串,0.8255467,1.0
setNewLine,要写出的XML中使用的行尾字符序列。,0.83987904,1.0
getParameter,返回其含义可能是特定于实现的属性的值。,0.8275595,1.0
with,返回此日期时间的副本，并将指定字段设置为新值。,0.29611713,1.0
writeFloat,"将 
               float值写入输出流，该值由4个字节组成。",0.8489431,1.0
getNamespaceContext,返回当前名称空间上下文。,0.79902023,1.0
isOpen,判断此频道是否已打开。,0.8917992,1.0
getAttributeNodeNS,"按本地名称和名称空间URI检索 
               Attr节点。",0.74327683,1.0
put,"相对批量 
               放置方法 
               （可选操作） 。",0.85629696,1.0
compareTo,比较今年和另一个月。,0.8021165,1.0
limit,返回此缓冲区的限制。,0.48114917,1.0
nullsFirst,"返回一个空值友好的比较器， 
               null视为小于非null。",0.87899554,1.0
getDaylightSavings,获取此区域中指定时刻使用的夏令时量。,0.6515058,1.0
readNString,"读取流中的下一个属性并将其作为Java编程语言中的 
               String返回。",0.84739745,1.0
headSet,"返回此set的部分视图，其元素小于（或等于，如果 
               inclusive为true） 
               toElement 。",0.810454,1.0
nullsLast,"返回一个空值友好的比较器， 
               null视为大于非null。",0.75501406,1.0
take,检索并删除此队列的头部，必要时等待，直到元素可用。,0.6062849,1.0
getName,实体的名称,0.78812563,1.0
getChannelPressure,获得通道的键盘压力。,0.75269353,1.0
truncatedTo,"返回此 
               ZonedDateTime的副本，并截断时间。",0.8279505,1.0
pollFirstEntry,"删除并返回与此映射中的最小键关联的键 - 值映射，如果映射为空，则 
               null 。",0.8443642,1.0
mouseWheelMoved,旋转鼠标滚轮时调用。,0.811129,1.0
getAudioClip,已过时。,0.8471904,1.0
getKind,"返回此指令的 
               kind 。",0.77542424,1.0
hasAttributeNS,"返回 
               true在此元素上被指定或具有默认值，与给定的本地名称和命名空间的属性URI 
               false否则。",0.8314291,1.0
hashCode,计算此路径的哈希码。,0.81166935,1.0
accept,向正在构建的流添加元素。,0.15683967,1.0
duplicate,创建一个共享此缓冲区内容的新短缓冲区。,0.8760388,1.0
accept,对给定的参数执行此操作。,0.1988309,1.0
getString,"获取指定的JDBC的价值 
               CHAR ， 
               VARCHAR ，或 
               LONGVARCHAR参数为 
               String的Java编程语言。",0.8511707,1.0
getProperty,从底层实现获取功能/属性的值,0.853475,1.0
editingStopped,这告诉听众编辑器已经结束编辑,0.77279305,1.0
getPooledConnection,尝试建立可用作池连接的物理数据库连接。,0.86491996,1.0
getDayOfWeek,"获取星期几字段，即枚举 
               DayOfWeek 。",0.897763,1.0
get,返回指定位置的节点,0.7208106,1.0
with,"返回此 
               MonthDay的副本，其中年份已更改。",0.27678102,1.0
tailMap,"返回此映射部分的视图，其键大于或等于 
               fromKey 。",0.62371564,1.0
with,返回与此对象相同类型的对象，并更改指定的字段。,0.29498023,1.0
forEachRemaining,在当前线程中按顺序对每个剩余元素执行给定操作，直到所有元素都已处理或操作引发异常。,0.88557005,1.0
setTime,"使用给定的 
               Calendar对象将指定参数设置为给定的 
               java.sql.Time值。",0.7717966,1.0
setNamedItem,"使用其 
               nodeName属性添加节点。",0.8706063,1.0
putChar,"用于写入char值的相对 
               put方法 
               （可选操作） 。",0.7823131,1.0
minus,返回与此对象相同类型的对象，并减去一定量。,0.613325,1.0
writeData,"将此 
               RowSetWriter对象的行 
               RowSetWriter的更改写回到从中获取其数据的数据源。",0.80594504,1.0
close,表示应用程序已完成使用变送器，并且可能会释放或提供所需的有限资源。,0.36982697,1.0
serialVersionUID,使用JNDI 1.1.1中的serialVersionUID实现互操作性。,0.8612803,1.0
windowLostFocus,当Window不再是焦点窗口时调用，这意味着键盘事件将不再传递给Window或其任何子组件。,0.7755193,1.0
getElementsByTagNameNS,"返回 
               NodeList的所有 
               Elements具有给定本地名称和命名空间URI在文档顺序。",0.71103156,0.8
getData,计算并返回RenderedImage的任意区域。,0.7983079,1.0
setParameter,设置参数的值。,0.81279624,1.0
run,执行计算。,0.6011526,1.0
flushBefore,"将给定位置之前的所有数据刷新到基础目标，例如 
               OutputStream或 
               File 。",0.79600656,1.0
equals,将指定对象与此列表进行比较以获得相等性。,0.7971629,1.0
dragFrame,用户移动了框架。,0.744694,1.0
asReadOnlyBuffer,创建一个共享此缓冲区内容的新的只读字节缓冲区。,0.91420484,1.0
getRoot,"所述 
               root节点的 
               TreeWalker ，它被创建时指定。",0.81634283,1.0
getAttribute,获取单个指定服务属性的值。,0.86309737,1.0
plus,返回与此对象具有相同类型的对象，并添加指定的句点。,0.824576,1.0
getQ,"返回次级抵押贷款 
               q 。",0.7551422,1.0
pollLast,"检索并删除此双端队列的最后一个元素，如果此双端队列为空，则返回 
               null 。",0.57997215,1.0
activate,"激活与激活标识符关联的对象， 
               id 。",0.7767575,1.0
toString,返回总结此缓冲区状态的字符串。,0.7876532,1.0
getXmlStandalone,"作为 
               XML declaration的一部分，指定此文档是否为独立的属性。",0.85940945,1.0
poll,"检索并删除下一个监视密钥，如果不存在，则检索并删除 
               null 。",0.4276147,1.0
addAll,将指定集中的所有元素添加到此属性。,0.7404533,1.0
parse,将名称解析为其组件。,0.88882065,1.0
asIntBuffer,将此字节缓冲区的视图创建为int缓冲区。,0.8777919,1.0
getValue,在检索时，属性的值以字符串形式返回。,0.82744354,1.0
array,"返回支持此缓冲区的short数组 
               （可选操作） 。",0.5560845,1.0
isSupported,检查指定的单元是否受支持。,0.29411924,1.0
show,显示弹出窗口,0.64330757,1.0
createTreeWalker,"在以指定节点为根的子 
               TreeWalker创建新的 
               TreeWalker 。",0.910203,1.0
evaluate,在指定的上下文中计算已编译的XPath表达式，并将结果作为指定的类型返回。,0.8418921,1.0
unboxedType,返回给定类型的未装箱值的类型（基本类型）。,0.81103444,1.0
getBaseTypeName,"检索此 
               Ref对象引用的SQL结构类型的完全限定SQL名称。",0.8505577,1.0
getAttributes,"生成此 
               Struct对象表示的SQL结构类型的属性的有序值。",0.82402927,1.0
evaluateExpression,"在指定的上下文中计算已编译的XPath表达式，并使用通过 
               class type指定的类型返回结果。",0.8914425,1.0
setObject,使用给定对象设置指定参数的值。,0.7829503,1.0
removeChangeListener,删除跟踪属性更改的侦听器。,0.80799997,1.0
getClob,"以Java编程语言中 
               java.sql.Clob对象的形式检索JDBC 
               CLOB参数的值。",0.84680057,1.0
getName,返回此属性的QName,0.87651706,1.0
last,返回此集合中当前的最后一个（最高）元素。,0.76401436,1.0
name,返回属性视图的名称。,0.4551566,1.0
writeShort,将两个字节写入输出流以表示参数的值。,0.8146467,1.0
tableIndexHashed,表示此表索引是散列索引。,0.7300141,1.0
addElement,在模型的末尾添加项目。,0.7987085,1.0
removeAttributeNode,删除指定的属性节点。,0.7777576,1.0
getCurrentServiceSelectors,通过在底层BeanContextServiceProvider上调用getCurrentServiceSelectors（），获取指定服务的服务相关服务参数（服务选择器）列表。,0.65142363,0.8
writeDefaultNamespace,将默认命名空间写入流,0.8261992,0.8
setCharacterStream,语言和绑定依赖类型的属性，表示可以输出16位单元的可写流。,0.8423213,1.0
canUndo,如果可以撤消此编辑，则返回true。,0.8135011,1.0
ofInstant,"从 
               Instant获得 
               ZonedDateTime的实例。",0.7430339,1.0
matchSystem,尝试通过systemId在目录中查找匹配的条目。,0.798375,1.0
getXPathFunctionResolver,返回当前的函数解析器。,0.7195313,0.8
spliterator,在此集合中的元素上创建Spliterator 。,0.75643325,1.0
applyToEitherAsync,返回一个新的CompletionStage，当这个或另一个给定阶段正常完成时，使用提供的执行程序执行，并将相应的结果作为所提供函数的参数。,0.8506319,1.0
compareTo,将此对象与指定的对象进行比较以获得顺序。,0.78924584,1.0
getSupportedSourceVersion,返回此注释处理器支持的最新源版本。,0.8646867,0.8
functionColumnInOut,表示参数或列是INOUT参数。,0.791399,1.0
layoutContainer,布置指定的容器。,0.8228582,1.0
visitPrimitive,访问基本类型。,0.8306425,1.0
ofLocal,"如果可能，使用首选偏移量从本地日期时间获取 
               ZonedDateTime的实例。",0.864441,1.0
onDeregistration,"当实现该接口的对象从给定的删除称为 
               category给定的 
               registry 。",0.85958946,1.0
compareTo,将此日期与另一个日期进行比较，包括年表。,0.7881676,1.0
addChangeListener,添加一个侦听器，以便在插入符号位置发生更改时进行跟踪。,0.8105031,1.0
allocate,此方法在给定XMLStreamReader的当前状态的情况下分配事件或事件集，并将事件或事件集添加到传入的使用者。,0.8529377,1.0
dispatch,"已过时。

没有替代品",0.8263755,1.0
runAfterEitherAsync,返回一个新的CompletionStage，当此或其他给定阶段正常完成时，使用提供的执行程序执行给定的操作。,0.81353396,1.0
isModifiableModule,"测试是否可以使用 
               redefineModule修改模块。",0.8822852,1.0
getVoiceStatus,获得此合成器产生的声音的当前状态。,0.8450737,1.0
getInstrument,"获取一个 
               Instrument从给定的 
               Patch 。",0.89355147,1.0
toLocalTime,获取此日期时间的本地时间部分。,0.7721873,1.0
comparator,返回用于为了在这个映射中的键，或比较null如果此映射使用natural ordering的钥匙。,0.8263016,1.0
put,"相对 
               put方法 
               （可选操作） 。",0.8560952,1.0
notificationReceived,收到未经请求的通知时调用。,0.7011224,1.0
undo,撤消编辑。,0.8613286,1.0
endDraggingFrame,此方法表示拖动会话结束。,0.77198505,1.0
readLong,"读取8个输入字节并返回 
               long值。",0.8388269,1.0
sequenceComplete,报告已完成一系列读取操作。,0.7702966,1.0
getMinimum,返回最小可接受值。,0.8742286,1.0
getInputStream,"已过时。

没有替代品",0.8195069,1.0
getParams,返回特定于DSA的键参数。,0.7688022,1.0
addPermission,不推荐使用，要删除：此API元素将在以后的版本中删除。,0.8079008,1.0
put,"相对批量 
               放置方法 
               （可选操作） 。",0.85629696,1.0
mouseClicked,在组件上单击（按下并释放）鼠标按钮时调用。,0.779456,1.0
setAccessibleColumnHeader,设置列标题。,0.80197966,0.8
getPrefix,获取前缀，如果这是默认名称空间声明，则返回“”。,0.8676628,1.0
rowSetChanged,"通知已注册的侦听器给定的 
               RowSet对象中的 
               RowSetEvent对象已更改其全部内容。",0.8134924,1.0
getArray,以Java编程语言中Array对象的形式检索JDBC ARRAY参数的值。,0.86907923,1.0
removeNotify,通知输入方法已从其包含层次结构中删除客户端组件，或者已为组件禁用了输入方法支持。,0.6839144,1.0
drainTo,从此队列中删除所有可用元素，并将它们添加到给定集合中。,0.83931816,1.0
uis,包含真实UI的向量。,0.8188852,1.0
removeFocusListener,删除指定的焦点侦听器，以便它不再从此组件接收焦点事件。,0.8384465,1.0
windowOpened,第一次使窗口可见时调用。,0.82887614,1.0
readTime,"读取流中的下一个属性并将其作为 
               java.sql.Time对象返回。",0.76882553,1.0
ancestorRemoved,当源或其中一个祖先通过调用setVisible（false）或从组件层次结构中删除时，调用它。,0.8931066,1.0
wasNull,"检索读取的最后一个值是否为SQL 
               NULL 。",0.7660006,1.0
hashCode,返回合适的哈希码。,0.84294367,1.0
list,返回包含用户定义属性名称的列表。,0.5020542,1.0
isDirect,判断此双缓冲区是否是直接的。,0.807879,1.0
read,从该通道读取一个字节序列到给定的缓冲区。,0.41784087,1.0
icSigLuvData,ICC配置文件颜色空间类型签名：'Luv'。,0.7096918,1.0
writeSQLXML,"将SQL 
               XML值写入流。",0.74194276,1.0
requestTopDownLeftRightResend,"代表 
               ImageConsumer请求 
               ImageProducer尝试以TOPDOWNLEFTRIGHT顺序再次重新发送图像数据，以便可以使用依赖于按顺序接收像素的更高质量的转换算法来产生更好的图像输出版本。",0.052578725,0.8
isNegative,不推荐使用，要删除：此API元素将在以后的版本中删除。,0.82291543,1.0
print,使用指定的作业属性打印文档。,0.38191497,1.0
compact,"压缩此缓冲区 
               （可选操作） 。",0.7539503,1.0
shutdown,启动有序关闭，其中先前提交的任务将被执行，但不会接受任何新任务。,0.7128829,1.0
isOutputLocation,确定这是否是输出位置。,0.7340181,1.0
isWhiteSpace,如果这组字符都是空格，则返回true。,0.7436562,1.0
selectAllAccessibleSelection,如果对象支持多个选择，则会选择对象的每个子对象。,0.8468358,0.8
getDependency,返回所需的模块,0.8153534,1.0
isEnabled,确定对象是否已启用。,0.8606417,1.0
getLength,列表中的对（名称和namespaceURI）的数量。,0.7918781,1.0
comparator,返回用于为了在这个组中的元素，或比较null如果这个集使用natural ordering的元素。,0.8151432,1.0
applyAsInt,将此函数应用于给定的参数。,0.693058,1.0
setString,"将指定参数设置为给定的Java 
               String值。",0.81185603,1.0
put,"相对批量 
               放置方法 
               （可选操作） 。",0.85629696,1.0
columnNullable,"该常量指示列允许 
               NULL值。",0.73464394,1.0
put,"相对批量 
               放置方法 
               （可选操作） 。",0.85629696,1.0
icSigViewingCondDescTag,ICC配置文件标记签名：'vued'。,0.8500303,0.8
dispatchKeyEvent,当前的KeyboardFocusManager调用此方法，请求此KeyEventDispatcher代表它调度指定的事件。,0.9044589,1.0
setSystemId,设置此Source的系统标识符。,0.8477018,1.0
comparing,接受从类型T中提取排序键的T ，并返回Comparator<T> ，使用指定的Comparator通过该排序键进行比较。,0.54412246,1.0
visit,"访问任何指令，就像将其自身传递给该指令的 
               accept方法并传递 
               null作为附加参数一样。",0.62549084,1.0
getDouble,"检索JDBC的价值 
               DOUBLE参数为 
               double的Java编程语言。",0.8889417,1.0
selectColor,所选按钮的颜色。,0.6617505,1.0
getURIs,获取标识此cookie商店中的cookie的所有URI。,0.80281115,1.0
setBlob,"将指定参数设置为 
               InputStream对象。",0.80017406,1.0
isDirectory,判断文件是否是目录。,0.8320266,1.0
duplicate,创建一个共享此缓冲区内容的新int缓冲区。,0.8620775,1.0
columnRemoved,告诉侦听器已从模型中删除了一列。,0.7923104,1.0
userSessionDeactivated,在用户会话被切换时调用。,0.7674457,0.8
getSystemId,返回当前文档事件的系统标识符。,0.8239875,1.0
isShutdown,"如果此执行程序已关闭，则返回 
               true 。",0.79479367,1.0
setCurrency,设置指定列是否为现金值。,0.83214724,1.0
allocate,分配一个新的int缓冲区。,0.80084044,1.0
format,使用指定的格式化程序格式化此日期时间。,0.5981277,1.0
iconifyFrame,通常，从父项中删除此框架并添加图标表示。,0.8527263,1.0
getDataSourceName,"检索标识此 
               RowSet对象的数据源的逻辑名称。",0.84360284,1.0
